Titulo,Descripcion,Fecha,Patth
Amigos de Viaje,"Con amigos de la universidad planeamos viajes todos los años, San andres, eje cafetero, peru, brasil y en el futuro mexico y argentina",mayo 2026,
Familia,Una foto en mi grado,diciembre 2013,
Familia,"Mi familia es muy unida, nos reunimos siempre en Navidad. La regla de las personas que nacen en pueblos, es que siempre hay una fecha en el año en que deben volver",NA,
Novia,"Mi pareja actual, nos conocemos desde el colegio, dejamos de seguir en contacto y recientemente nos volvimos a hablar, llevamos 2 años juntos",oct 2025,
Robocup,El bitcoin estaba a 8700,junio 2019,
Equipo Robocup,"El equipo conformado por la alianza SinfonIA, 3 universidades, los andes, la santo tomas y la unimag, fuimos a representar a colombia en una competencia para entrenar robots",junio 2019,
El Steve bueno,"Conocimos a steve wosniak, hablamos sobre la arquitectura de procesadores RISK V , mas que una persona famosa, un personaje mitologico",junio 2019,
Las pruebas de robocup,"Las pruebas eran sobre la interaccion humano maquina, el software de 2019 no habian LLM, ni IA para programar, aun asi logramos pasar a la segunda ronda.",junio 2019,
Ricardo Viajero,"Mencionar el mapa de colombia, como he recorrido muchas ciudades desde el norte al sur",,
Viaje a republica,Primer viaje como novios a republica dominicana,julio 2026,
Viaje a España,Primer viaje de mi mama fuera del pais,julio 2026,
Viaje a Italia con mi mama,"Luego de españa fuimos a italia, para que conociera el vaticano, las iglesias, algunos monumentos y venecia. Ella es muy catolica y fue un viaje lleno de experiencias",julio 2026,
Mis hobbies,,NA,
El Ricardo Electronico,"Mencionar mis proyectos, mi paso por la universidad, lo mucho que me gusta la fisica de estado solido y la relatividad, pero lo mucho que me costo la fisica de campos",NA,
El Ricardo Programador,"Mencionar platzi, aprendizaje autonomo, proyectos que he hecho, AtenaLink, mis conferencias en Barranquilla, trabajos con IoT",NA,
El Ricardo Emprendedor ,"Mencionar Render Game, Printel, Phalanx, Solven Ice Guamal",NA,
Viaje a san andres,"Fotos de la playa, mencionar la historia de la arena y el pez loro, pequeña reseña geografica de por que la arena de san andres es asi por la falla de nicaragua",julio 2023,
Viaje al eje Cafetero,Mencionar salento como inspiracion de Encanto,marzo 2024,
Viaje a peru,"Mencionar como hemos viajado a peru, macu pichu, la cultura y la comida",marzo 2025,
Viaje a brasil,Mencionar brasil y como la pasamos por alla,mayo 2026,
Viaje a paises Nordicos,En el futuro 2027 mencionar que iremos a paises nordicos dejar el espacio para auroras,enero 2027,
Ricardo Aventurero,"Muestra Fotos de parapente, Boggie, cosas divertidas pero no extremas",,
Quiero vivir en medellin,"Quiero vivir en medellin, comprar un auto hibrido, recorrer todos los pueblos de antioquia. ",agosto 2026,
Muy amiguero,"Soy amigo de mis amigos, sigo teniendo contacto con mis amigos de infancia, de colegio, de universidad y de la segunda universidad.",NA,
Fase de Coordinadora,"Trabaje 3 años en coordinadora mercantil, la empresa con mas historia en colombia, teniendo mas de 60 años transportando paquetes por toda colombia",enero 2022,
La Fase del covid,"Como pase un año solo en santa marta, estudiando, manteniendome con tarjetas de credito, estudiando programacion y obteniendo mis primeros trabajos, estudiaba en la universidad, el bitcoin estaba a 3800 usd",marzo 2021,
